"Order ID,Order Date,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit"
"ORD-2025-10289,2025-12-02,West,Furniture ,Chairs,Ergonomic Mesh Chair,1298.71,10,0.15,-99.29"
"ORD-2024-10010,01-21-2024,central,Office Supplies ,Storage,Desktop Organizer Box,172.45,4,0.15,9.58"
"ORD-2024-10058,23/05/2024,CENTRAL,Technology,Accessories,Business Router Max,739.33,6,0.3,-9.55"
",,,,,,,,,"
"ORD-2024-10061,2024-05-30,WEST,Office Supplies,Paper,Gel Pens 12-Pack,$44.10,4,0.3,-7.14"
"ORD-2024-10026,05/03/2024,EAST,Furniture,Tables,Executive Leather Chair,""$1,034.93"",6,0.4,-418.13"
"ORD-2024-10064,06-05-2024,West,OFFICE SUPPLIES,Storage,Heavy Duty Binder,153.5,7,0.2,-1.67"
"ORD-2024-10093,2024-08-18,central,Technology,Accessories,Dual Screen Monitor,9796.31,10,0.05,2958.9"
"ORD-2025-10185,06/04/2025,South,Office Supplies,Appliances,Heavy Duty Binder,115.42,3,0.05,21.25"
"ORD-2025-10245,04/09/2025,East ,TECHNOLOGY,Accessories,Mechanical Keyboard,5316.3,9,0.05,1731.74"
"ORD-2024-10047,05-01-2024,South ,Office Supplies ,Storage,Copy Paper 500 Sheets,544.27,6,0.15,18.4"
"ORD-2024-10076,07-10-2024,WEST,Technology ,Accessories,Smartphone X1,1902.77,2,0.3,-68.97"
"ORD-2025-10164,07/02/2025,west,Technology,Machines,Mechanical Keyboard,118.88,1,0.4,-17.44"
"ORD-2025-10296,12-26-2025,WEST,TECHNOLOGY,Machines,Business Router Max,""$1,232.04"",3,0.2,156.9"
"ORD-2025-10159,2025-02-01,west,Technology,Accessories,Dual Screen Monitor,2378.28,5,0.4,-403.8"
"ORD-2025-10285,11-29-2025,West,Office Supplies ,Storage,Desktop Organizer Box,111.26,4,0.2,"
"ORD-2025-10290,03/12/2025,East ,technology,Machines,Smartphone X1,5147.99,9,0.15,942.99"
"ORD-2024-10006,14/01/2024,EAST,Office Supplies,Binders,Stapler Executive Pro,877.37,10,0.15,52.45"
"ORD-2025-10156,24/01/2025,SOUTH,OFFICE SUPPLIES,Storage,Heavy Duty Binder,12.8,1,0.15,0.54"
"ORD-2025-10165,02-10-2025,CENTRAL,Office Supplies ,Storage,Gel Pens 12-Pack,414.61,6,0.1,49.95"
"ORD-2025-10169,02-18-2025,WEST,FURNITURE,Bookcases,Wooden Bookcase 5-Shelf,1815.8,8,0.15,-131.9"
"ORD-2024-10074,08/07/2024,East ,Technology ,Accessories,HD Web Camera,950.21,2,0.4,-155.29"
"ORD-2024-10105,09-09-2024,east,TECHNOLOGY,Accessories,Workstation PC Pro,5037.37,6,0.15,970.77"
"ORD-2024-10138,12-11-2024,West,Office Supplies,Paper,Office Microwave,$264.06,5,0.4,-72.55"
"ORD-2025-10207,05-19-2025,East,Office Supplies ,Paper,Desktop Organizer Box,92.99,1,0.0,22.4"
"ORD-2024-10077,16/07/2024,West ,Office Supplies ,Appliances,File Folders 100-Pack,77.64,4,0.0,19.27"
"ORD-2025-10174,03-03-2025,WEST,Furniture,Furnishings,Ergonomic Mesh Chair,3619.51,9,0.2,-482.81"
"ORD-2024-10114,2024-09-30,East ,technology,Accessories,Mechanical Keyboard,991.59,3,0.15,156.74"
"ORD-2024-10034,08/04/2024,Central ,FURNITURE,Furnishings,Wooden Bookcase 5-Shelf,$899.36,4,0.0,105.88"
"ORD-2025-10275,2025-11-05,West ,FURNITURE,Chairs,Executive Leather Chair,4346.86,8,0.1,21.1"
"ORD-2025-10252,09-19-2025,Central ,Office Supplies ,Paper,Whiteboard Markers 8-Pack,481.68,10,0.4,-148.11"
"ORD-2024-10109,19/09/2024,East ,TECHNOLOGY,Accessories,Mechanical Keyboard,3049.78,6,0.4,-481.44"
"ORD-2024-10004,01-05-2024,WEST,Office Supplies ,Appliances,Office Microwave,117.61,1,0.05,22.4"
"ORD-2024-10083,2024-07-25,West ,OFFICE SUPPLIES,Paper,Copy Paper 500 Sheets,208.62,6,0.5,-88.95"
"ORD-2025-10260,10-04-2025,CENTRAL,Office Supplies ,Binders,File Folders 100-Pack,,4,0.0,14.73"
"ORD-2024-10094,08-18-2024,west,Office Supplies ,Pens & Art,Copy Paper 500 Sheets,216.12,4,0.4,-60.95"
"ORD-2024-10102,08-31-2024,West,Office Supplies ,Pens & Art,Whiteboard Markers 8-Pack,1071.34,10,0.15,43.27"
"ORD-2024-10046,29/04/2024,WEST,office supplies,Appliances,Copy Paper 500 Sheets,45.14,4,0.5,-19.61"
"ORD-2024-10018,02-10-2024,EAST,TECHNOLOGY,Machines,Mechanical Keyboard,1169.63,1,0.0,452.96"
"ORD-2025-10198,04-29-2025,south,TECHNOLOGY,Phones,Wireless Headset Pro,""$3,439.78"",6,0.05,1082.69"
"ORD-2024-10120,22/10/2024,East ,Technology,Accessories,Wireless Headset Pro,4636.67,7,0.1,1187.12"
